,TT211.SP,VCH4.OP,ACH4.op,EACH4.OP,TE201ST.OP,B201HZ.OP,B301HZ.OP,FCV401.OP,FV202.OP,T1STMAN.OP,T2STMAN.OP,cv202.OP,cv205.OP,cv204.OP,cv207.OP,FI201A.PV,OIL.PV,OISUML.PV,FI202B.PV,FI202A.PV,TT211.PV,TGB1.PV,TT207.PV,TT206.PV,TT204.PV,TT203.PV,TE202.PV,HFV202.PV,HFV202TOTAL.PV
13,0.0,1.200000,16100000.000000,108000.000000,30.000000,40.000000,40.000000,0.000000,43.274310,90.000000,90.000000,1,0,0,1,101060.050845,269.754665,0.0,23220.088596,79354.294188,924.845237,884.493393,595.640340,96.844078,563.119408,83.537821,39.084968,9107.365579,421.384693
14,0.0,1.200000,16100000.000000,108000.000000,30.000000,40.000000,40.000000,0.000000,43.292228,90.000000,90.000000,1,0,0,1,101060.145025,269.755204,0.0,23160.112693,79114.016303,925.329480,885.967610,597.905720,97.151108,561.011252,83.265077,39.249322,9056.385150,446.583135
15,0.0,1.200000,16100000.000000,108000.000000,30.000000,40.000000,40.000000,0.000000,43.309671,90.000000,90.000000,1,0,0,1,101059.786689,269.755784,0.0,23096.662259,78862.859734,925.794803,887.399412,600.174942,97.458736,558.916987,82.993755,39.425774,9012.342362,471.648631
16,0.0,1.200000,16100000.000000,108000.000000,30.000000,40.000000,40.000000,0.000000,43.326527,90.000000,90.000000,1,0,0,1,101058.979427,269.756133,0.0,23072.361897,78746.146873,926.238102,888.779689,602.447114,97.766852,556.836697,82.723886,39.612629,8992.033299,496.642281
17,0.0,1.200000,16100000.000000,108000.000000,30.000000,40.000000,40.000000,0.000000,43.342694,90.000000,90.000000,1,0,0,1,101057.731327,269.756288,0.0,23077.262052,78729.927848,926.656547,890.108949,604.703504,98.071901,554.770896,82.455574,39.808360,8991.662536,521.620386
18,0.0,1.200000,16100000.000000,108000.000000,30.000000,40.000000,40.000000,0.000000,43.358084,90.000000,90.000000,1,0,0,1,101056.054892,269.756282,0.0,23103.885800,78788.738395,927.047790,891.387543,606.945881,98.374349,552.720093,82.188924,40.011595,9008.398178,546.631164
19,0.0,1.200000,16100000.000000,108000.000000,30.000000,40.000000,40.000000,0.000000,43.372624,90.000000,90.000000,1,0,0,1,101053.966913,269.756143,0.0,23146.612832,78903.479392,927.409863,892.615728,609.175434,98.674531,550.684691,81.924023,40.221110,9040.097762,571.716756
20,0.0,1.200000,16100000.000000,108000.000000,30.000000,40.000000,40.000000,0.000000,43.386245,90.000000,90.000000,1,0,0,1,101051.488303,269.755893,0.0,23201.217125,79059.827518,927.741094,893.793698,611.392920,98.972688,548.665007,81.660942,40.435809,9085.104704,596.914642
21,0.0,1.200000,16100000.000000,108000.000000,30.000000,40.000000,40.000000,0.000000,43.398891,90.000000,90.000000,1,0,0,1,101048.643881,269.755551,0.0,23264.519826,79247.041745,928.040068,894.921625,613.598784,99.268989,546.661289,81.399742,40.654719,9142.098117,622.258623
22,0.0,1.200000,16100000.000000,108000.000000,30.000000,40.000000,40.000000,0.000000,43.410510,90.000000,90.000000,1,0,0,1,101045.462129,269.755134,0.0,23334.128742,79457.068829,928.305582,895.999678,615.793244,99.563550,544.673724,81.140470,40.876976,9209.981626,647.779482
23,0.0,1.200000,16100000.000000,108000.000000,30.000000,40.000000,40.000000,0.000000,43.421056,90.000000,90.000000,1,0,0,1,101041.974897,269.754653,0.0,23408.242786,79683.872386,928.536616,897.028039,617.976364,99.856453,542.702450,80.883165,41.101815,9287.801628,673.505403
24,0.0,1.200000,16100000.000000,108000.000000,30.000000,40.000000,40.000000,0.000000,43.430491,90.000000,90.000000,1,0,0,1,101038.217089,269.754122,0.0,23485.505181,79922.929655,928.732315,898.006917,620.148100,100.147752,540.747557,80.627861,41.328560,9374.687854,699.462219
25,0.0,1.200000,16100000.000000,108000.000000,30.000000,40.000000,40.000000,0.000000,43.438776,90.000000,90.000000,1,0,0,1,101034.226307,269.753547,0.0,23564.893283,80170.854028,928.891975,898.936557,622.308339,100.437484,538.809095,80.374579,41.556617,9469.810646,725.673537
26,0.0,1.200000,16100000.000000,108000.000000,30.000000,40.000000,40.000000,0.000000,43.445959,90.000000,90.000000,1,0,0,1,101030.042476,269.753204,0.0,23605.033001,80287.117174,929.017278,899.824549,624.456929,100.725675,536.887074,80.123337,41.785473,9555.997725,752.119929
27,0.0,1.200000,16100000.000000,108000.000000,30.000000,40.000000,40.000000,0.000000,43.452076,90.000000,90.000000,1,0,0,1,101025.707442,269.753052,0.0,23615.491690,80304.327337,929.109679,900.671095,626.611046,101.015815,534.981077,79.874075,42.014696,9636.239803,778.784773
28,0.0,1.200000,16100000.000000,108000.000000,30.000000,40.000000,40.000000,0.000000,43.457151,90.000000,90.000000,1,0,0,1,101021.264553,269.753061,0.0,23603.453234,80246.946065,929.170234,901.476446,628.767872,101.307348,533.090675,79.626729,42.243924,9712.531707,805.657352
29,0.0,1.200000,16100000.000000,108000.000000,30.000000,40.000000,40.000000,0.000000,43.461201,90.000000,90.000000,1,0,0,1,101016.758223,269.753203,0.0,23574.312238,80133.324364,929.199727,902.240914,630.925215,101.599857,531.215517,79.381248,42.472851,9786.117125,832.730676
30,0.0,1.200000,16100000.000000,108000.000000,30.000000,40.000000,40.000000,0.000000,43.464235,90.000000,90.000000,1,0,0,1,101012.233489,269.753456,0.0,23532.120148,79977.231817,929.198761,902.964857,633.081507,101.893031,529.355303,79.137591,42.701222,9857.673561,859.999849
31,0.0,1.200000,16100000.000000,108000.000000,30.000000,40.000000,40.000000,0.000000,43.466260,90.000000,90.000000,1,0,0,1,101007.735559,269.753799,0.0,23479.920267,79789.001865,929.167845,903.648699,635.235550,102.186639,527.509766,78.895724,42.928820,9927.453847,887.460835
32,0.0,1.200000,16100000.000000,108000.000000,30.000000,40.000000,40.000000,0.000000,43.467283,90.000000,90.000000,1,0,0,1,101003.309363,269.754218,0.0,23419.999401,79576.390957,929.107448,904.292928,637.386039,102.480515,525.678656,78.655614,43.155468,9995.394173,915.109534
